text,sentiment
سلام وعرض LINK رشیدپور دررابطه با سهمیه و خدماتی که برای ایثارگران و خانواده هایشان درنظرگرفته شده و بقول خودشان تصویب شده! پس کو؟ چرا فقط دبدبه و کب کبه شونو ب گوش ملت میرسونن؟ چرا فقط دوس دارن سروصدا ب پا کنن و بگن ماداریم حمایتشون میکنیم؟ کو حمایت؟ کلی موضوع و هدف لیست کردن تو یه کاغذو میدن دست ماو ادعا دارن ک تصویب شده ولی وقتی مستقیما ارتباط میگیریم باهاشون و درخواست میکنیم میگن بودجه نیس!!! اگه نیست پس چرا تصویب شده؟ برنامه چیه؟ درحال حاضر مادرحال ساخت منزل مسکونیمون هستیم و درگیر انشعابات LINK حتی یک درصد هم نتونستیم از این ارگان کمک LINK هم که میشیم ادارات مرتبط با انشعاب میفرماین که بودجه LINK وقتی ب سپاه مراجعه میکنیم میگن تصویب شده و بودجه دردست اون سازمانه (اداره توزیع LINK و فاضلاب و...) برنامه اینه؟ از این اداره پاسمون بدن به اداره بغلی تا خسته و درنهایت منصرف بشیم؟؟ ماساکن قم هستیم چندی پیش که مجدد پیگیراساسی شدیم وزارت سپاه فرمودن که این مصوبه هارو نامه کنید تحویل نمایندتون جناب امیر آبادیه عزیز بدین و بفرمایین LINK و تبصره هایی که برای ایثارگران درنظر گرفتینو بزارین دم کوزه آبشو بخورین!!! همش حرف و LINK میشم اگر پیگیری بفرمایین...,negative
مهمان برنامتون گذارشگر فوتبال اصفهان نیست؟؟ 🙄 🤔,neutral
اقعا تاسف اوره...,negative
سلام آقای رشید پور لطفا راجب ظلمهایی که شهرداری کرج داره انجام میده حرف بزنید... شهرداری داره به زور پول‌های میلیونی میگیره و اگه اکسی نداشته باشه بده اب و برق و گاز خونشونو قطع میکنه یا دستور بسته شدن راه ورودی ساختمان رو میده... شهرک خاتم در کرج هیچ امکاناتی نداره که شهرداری بخواد این همه پول از مالکاش بگیره.,negative
سلام جناب رشیدپور وقتی شما از پایان سال صحبت میکنید من دلشوره میگیرم که با این گرونی چطور میتونم دل بچه هامو شاد کنم خواهش میکنم هروز به مسیولین گوشزد کنید,negative
سلام آقای رشید پور نمیدونم با خودم چی فکر کردم که دارم اینجا برای شما این‌ها رو مینویسم چون NUM۳ درصد مطمئن هستم حتی نگاه هم نخاهی کرد ولی از صبح امروز تا الان یه حسی مدام بهم میگفت اینکار رو بکن تا الان که به جبر دارم مینویسم من از استان یزد شهر میبد هستم اسمم ابوالفضل بیغرضهست NUM۲ سالمه آقا رضا اگه شما با کمک تلوزیون بتونی جلوی یتیم بزرگ شدن دوتا بچه‌های منو بگیری آیا اینکار رو میکنید. دوتا پسر هام ۳ساله و ۵ساله را از بی مادر بزرگ شدن نجات میدی باتشکر NUM ۱۱ تلفن من,neutral
سلام به برنامه خوبتون من سرباز وظیفه هستم و در منطقه محروم خدمت میکنم قبل خدمت من هم تو کار میوه و هم ماهی بودم خلاصه پولدار نبودم ولی محتاج کسی نبودم اما الان سربازم تو کوه‌ها و ارتفاعات باید اینجا دوماه نگهبانی بدم در نتیجه نمیتونم کار کنم تو خدمت چون شرایطش نمیزاره الانم دم عیده همون چندرغاز رو هم نریختن همه ارگانا ریختن فقط ارتش نریخته جالب حقوق کادرهاشو زودتر ریخته ولی کل سربازای ارتش هنوز نه!! حالا بعضی از سربازا مثل رفیقم متاهل اند من گناهم چیه افتادم ارتش لطفا پیگیری کنید و از مسعولین ارتش که ادعا دارن سرباز رو اذیت نمیکنن و مثلا انصاف دارن و کارشون رو نظمه دلیلشو جویا شید,negative
اقای رشید پور تو رو خدا اگر پیامارو میخونید شما یه کاری کنید از پنجشنبه نه اسفند تاامروز یازده اسفند باز سایپا قیمتاشو برده LINK هیچکس هیچکاری نمکنه اخه,negative
سلام اقای رشیدپورماماهانه NUM۵ هزارتومان درامدمامیباشدوبه ماسبدکالانمیدهندچه دلیلی داردنمیدانم تورخداپیگرباشید,negative
اقای رشیدپورتوروخدا یه جواب به من بدیدشب عیدخیلی گرفتاریم,negative
سلام اقای رشید پور من یکی ازطرفداران شما هستم من باز نشسته اموزش و پرورش وسی ویک سال برای بچه‌های این مملکت زحمت کشیده_ام خودتان مطلع هستید زیر فقر حقوق میگیرم NUM۲ سالمه همسرم بازنشسته ذوب اهن هستند ودچار الزایمر وسرطان میباشند تا به امروز حقوق وعیدی فولادرا پرداخت نکرده_اند‌تر ا خدا مطرح کنید وصدای مارا به مرفحین بی درد برسونید با تشکر وقدرانی ازشما,negative
آقای رشید پور این پول قرعه کشی رو که هر روز میدین بدین دولت بوجه نداره بیچاره,neutral
مستر بین سیو کردم,neutral
سخت‌ترین خداحافظی با مادرم هنگام مرگ بود در NUM۱ سال پیش,negative
خداحافظی با اخلاق بدم,neutral
خدا حافظی با اجیل,neutral
خداحفظی با رشید پور و حالا خورشید @,neutral
سلام آقای رشیدپور یه لطفی بکن این پرویز نشاط را بفرست کلاس اکابر تا ۱تا NUM۲ رو یاد بگیره که از NUM۲ نفره رو شماره ۵,neutral
دوستان عزیزم برای من دعا کنید چون مشکل بزرگی مالی برام پیش آمده و خداوند با دعای خیر شما عزیزان جان مشکل مالی ام را حل کند. ممنون شمام یا الله دل من و همسرم و خانواده‌ام را با حل مشکل بزرگ مالی ام شاد کن یا الله تو بزرگ‌تر از مشکلات هستی.,negative
💙 💚 💛 🧡💜...,positive
لطفا قانون اساسی و حضور بیگانگان و نیروهای خارجی در ایران را بخوانید,neutral
از حالا خورشید چه خبر؟,neutral
چه خبر از حالا خورشید؟ زود باشید دیگه,neutral
امروز تو خبر داغ نوشته_بود فصل جدید حالا خورشید شروع میشه خیلی خوشحال شدم,positive
اقای رشید پور دلمون برای هم خودتون ودوستاتون وبرنامه خوبتون تنگ شده 💐 💐,negative
اقای رشید پور این برنامه‌ای که به جای برنامه شما گذاشتن واقعا بی خوده واقعا که برنامه به اون قشنگی شمارو برداشتن وجاش چی گذاشتن😥 😥 😥 😥 😔 😔 😕 😕 😕 🤔🤔🤔,neutral
افزایش ظرفیت تهدید سلامت,negative
توروخدا زود برگردید حالم از این سلام صبح بخیر بهم میخوره😐,neutral
صب بخیر اقای رشید پور برنامع تون خیلی جالبه,positive
آقای رشید پور ما آجیلو بین فامیل پولشو تقسیم کردیم,neutral
جناب رشید پور شب یلدامون با مهمونات خراب کردی اون شقایق دهقان با خاطرات مسخره‌اش اخه چقدر برا مردم مهمه یه خواننده‌ای می‌اوردی باز باعث شادی میشد اونوقت بگین چرا مردم ماهواره میبینند و برنامه‌های چرت مارو نمیبینند عیدمونو هم با خاطرات میخره هنرمندان بازیگر خراب میکنین از خدا بترسین مردم در این عید‌ها نیازمند برنامه‌های شاد هستند وای دهقان که دیگه خیلی مسخره است برای شب یلدا,negative
سلام برادر عزیزتر از جانم اقای رشید پور،،، با دعوت از پاکبان زحمتکش و بر خورد صمیمانه‌ات نهایت تشکر را دارم،، خیلی مردی،، بامرامی،، دو رکعت نماز برای سلامتی خودت و خانواده عزیزت در حرم اقا امام رضا (ع) بجا می‌اورم،،، قربانت رزمنده دفاع مقدس،،,positive
سلام صبح به خیر من چه طوری می‌توانم از برنامه قرعه کشی بیرون بیام,neutral
در مورد قطع درختان ارسباران از مسئولان توضیح بخواهید,neutral
جناب رشیدپور سلام عذرخواهم برای پوششتان از رنگ‌های روشن وشاد استفاده کنید,neutral
سلام،، اقای رشید پور،،، سلام ما را به جاج محسن رضائی برسانید،،، عملیات کربلای NUM۱ هم لو رفت،، ولی در کل ما پیروز جنگ شدیم،،، اگر حاج محسن و امثال او نبود،، الان همه ما عربی صحبت میکردیم،،،,neutral
‏محسن رضایی و قاسم سلیمانی اومدن در برنامه حالا خورشید رو گند آقا محسن در توییتر ماله کشیدن - زین پس بجای حالا خورشید بگید حالا خر شید,negative
سلام چطوری میتونم ازبرنامه قرعه کشی بیرون بیام,neutral
🥁🥁🥁🤹‍♂🤹‍♂🥁🥁🥁 اگه دنبال بازی و کاردستی‌های ساده و آموزنده برای فرزند دلبندتون هستین. حتما به پیج کودک باشی سر بزنید. 🌺 🌺 🌺 🌺 🌺 🌺 🌺 🌺 🌺,neutral
اقای رشید پور این اقای تاریقلی همه حرفاش مفت بود,negative
اصلأ نمیشه شخصیت رشید پور شناخت,negative
لطفا به پیج من سر بزنید🙏,neutral
به پیج ما سر بزنید,neutral
جدیدترین صحبت‌های پناهیان در خصوص چهلمین سالگرد انقلاب LINK=ig_share_sheet&igshid=۱a۸i۳lg۵ofoyr,neutral
سلام در مورد استخدام معلولان هم صحبت کن,neutral
حسین محب اهری درگذشت روحش شاد,negative
درب ضد سرقت TAG حذف واسطه TAG قیمت استثنایی TAG فقط NUM۳ تومان ۰۹۳۵۴۶۳۷۲۶۷,neutral
سلام دوستان من یه پویشی هستم به اسم سیبزمنی که میخوام نشون بدم حتی سیبزمنی هم میتونه لایک جمع کنه پس سلبریتی بودن مهم نیست برای لایک جمع کزدن و پیشنهاد بدم ادم باشیم نه سلبریتی ID@rahtekdc,neutral
سلام دوستان من یه پویشی هستم به اسم سیبزمنی که میخوام نشون بدم حتی سیبزمنی هم میتونه لایک جمع کنه پس سلبریتی بودن مهم نیست برای لایک جمع کزدن و پیشنهاد بدم ادم باشیم نه سلبریتی ID,neutral
بد نیست برنامه‌ای رو هم به جنایت وحشتناک مالچ پاشی اختصاص بدید. محیط زیست در خطر است💔,negative
سلام و خسته نباشید لطفا میشه پیگیری کنید چرا شهریه ثابت دانشگاه پیام نور رو اینقدر هی هر ترم دارن افزایش میدن؟ حالا خورشید رشید پور ID,negative
با سلام باتوجه به اینکه بارها از تنبیه دانش آموزان توسط معلم اطلاع رسانی و منع شده_است با کمال تاسف امروز سی ام دیماه پسر من توسط معلم دبیرستان امام رضا واقع در ورداورد با لگد به صورتش کوبیده زخمی و خونی به خونه LINK که باز هم اطلعطلاع رسانی کنید که چنین اتفاقی نیفتد.,negative
الان خیلی افتخار میکنین ب اینکه‌ی دزد رو آوردین نشسته از بدبختی هایی ک سر مردم آورده با افتخار تعریف میکنه؟؟؟ شمام ک هر‌ هر بخندین,negative
سلام من یک خانواده ضعیف از نظر مالیم که پسرم مریضه اگه بتونید کمکم کنید تا پیش بچهام شرمنده نشم تا آخر عمر خودمو خانوادم دعاتون میکنیم,negative
چقققد این دزده باحال بود 🤣🤣🤣,positive
نههه ترقرآن خب اگه همچین قصدی داشتین باید موقع انتخاب رشته میگفتید که ما بدبخت نشیممم,negative
😢 😢 😢 😢 😢 😢 😢,negative
نه به استخدام _پیمانی_دانشجو_ معلمان_ ۹۷,negative
چرا دیگه برنامه پخش نمیشه,negative
سلام خدمت آقای رشید پور مجری همه چی تمام از همه نظر دلمون برای اون روی ماهتون تنگ شده انشاالله که از فردا میبینیمتون,positive
کلاهبرداری بزرگ مسابقه بزرگ شبکه سه لطفا یکی به داد من برسه صدای منو هیچ کس نمیشنوه آخرین امیدم برنامه شماست,negative
سلام وقت بخیر لطفا در مورد دکتر‌های متخصصی که با هزار دک پوز مطب‌ها ولی به دلیل فرار از مالیات یا چیزهای دیگه دستگاه پوز ندارن,negative
سلام خدمت آقای رشید پور من از شهر رشت پیام میدم در شهرک مسکن مهر زندگی میکنیم کارمند هستم دخترم NUM۱ سال داره کلاس دوم چند روز پیش یه برگه اورده که اولیا و انجمن مدرسه واسه هر دانش اموز NUM۳ هزار تومان بصورت هدیه درخواست کردن وحتی گفتن اگه یهو نمیتونین پرداخت کنید به صورت قسطی توی NUM۱ ماه پرداخت کنید اگه خواستین عکس بگیرم براتون بفرستم ولی نمیدونم به کجا براتون بفرستم حساب کنید مدرسه دو شیفته در هر شیفت خیلی بدبینانه NUM۳ تا دانش اموز داشته_باشد چقدر میشه خدایی رسیدگی کنید بعدشم مدرسه نو ساز اینقدر خرج داره؟ تازه شنیدم اگه پرداخت نشه کارنامه دانش اموز داده نمیشود,negative
سلام صبحتون بخیر برنامتون خیلی عالیه,positive
سلام این کانال واقعیتونه,neutral
این پیج اصلیه؟؟؟,neutral
سلام اقای رشید پور درباره نظر سنجی امروز خواستم بگم بنده با فضای مجازی اطلاعات میگیرم وروزانه تو خونه به سختی چیزهای خونگی درست میکنم خرج سه تا بچه هامو میدم,positive
سلام جناب رشیید وپور خسته نباشید. من به نمایندگی از بچه هایی هستم که NUM۲ ماه پیش آزمون پالایشگاه نفت ستاره خلیج فارس هرمزگان دادیم و یک ماه بعد اسامی قبولی‌ها اعلام شد و مصاحبه‌ی فنی و روانشناسی هم انجام دادیم و همه مراحل رو با موفقیت سپری کردیم. اما الان NUM۲ ماهه که ما سردرگمیم و نمیدونیم تکلیفمون چیه و چرا هیچ خبری از مسولین شرکت نیست و هر چی تماس میگیریم یک نفر پیدا نمیشه که به ما اطلاعاتی بده که چرا ماها دعوت به کار نمیشیم. کلی شرایط شغلی رو از دست دادیم فقط به خاطر اینکه مطمین بودیم قبولیم... لطفا اینو انعکاس بدید چرا که خونواده‌های ما واقعا توی استرس و اضطرابن.. شاید تلنگری بشه برا مسولین نفت ستاره خلیج فارس که یادشون بیاد میلیونها تومن پول بابت این آزمون گرفتن از این جوونهای بی گناه,negative
رشید پور چرا انقد اروم دستتو میزاری رو دستت یا زیر چونت؟: /,neutral
سلام آقای رشید پور لطفا لطفااا درباره NUM۲ ماه حقوق نگرفتن بیمارستان امام خمینی کرج صحبت کنید صدای مارو به گوش مسولین برسونید به جایی رسیده که پرسنل به فکر کلیه فروشی هستند به همه جا هم نامه داده شده و کلی وعده وعید به ما دادن ما کلی تجمع کردیم ولی کسی نیست مارو از این وضعیت نجات بده با این وضع اقتصادی واقعا سخته مسولین خودتونو لطفا جای ما بذارید 😑 😑 😑 📣 📣 📣 📣 📣 📣 📣 📣 📢 📣 📣 📣,negative
ادامه_تحصیل_لیسانس_علوم_آزمایشگاهی_نداریم TAG علوم آزمایشگاهی شماره نظام پزشکی ندارد,negative
ادامه تحصیل لیسانس علوم آزمایشگاهی نداریم علوم آزمایشگاهی شماره نظام پزشکی ندارد,negative
ادامه تحصیل لیسانس علوم آزمایشگاهی نداریم,negative
علوم آزمایشگاهی شماره نظام پزشکی ندارد,negative
سلام جناب رشید پور مقصر دولت رسیدگی نمیکنه وقتی راننده نمیتونه زندگیشا تامین بکنه مجبوره با ماشین ترمز خراب کارکنان وقتی از از جون خودش بگذره میخوای بفکرجون بقیه باشه امکان داره ترمز ببره وصدها ماشینا زیر کنه دولت چکارمیکنی چه اهمیتی داره شما یدیقه تو تلویزیون اعلام می‌کنی میری,negative
برنامه شما هم ماست مالی شده... خبر داری یا نه! راستی غلط املائی دارم یا نه🤣🤣,negative
سلام خسته نباشید - چطوری میتونم با برنامه تماس داشته_باشم؟ از اپلیکیشن روبیکا شکایت دارم! برنده NUM۳ شدم ولی بهم ندادن- یه مبلغ پول میخوان بدن که اونم باید اول برم کنار ماشین و جلوی دوربین بگم که ماشین گرفتم!!! وگرنه پول بهم نمی‌دن!!! من برای صحت گفته هام مدرک دارم,negative
اه رشیدپور,negative
ااا جنننتی,neutral
آره... این آقا خیلی قشنگ بود🍀 🍀 🍀 🍀 🍀 🍀,positive
سلام اقای LINK دارید ک اپراتورهای ایرانسل و همراه اول چقدر گرون کردن مبالغ بسته‌های اینترنتی رو افزایش دادن برای مثال یک بسته اینترنتی NUM۲ گیگ روزانه و NUM۲ گیگ شبانه داره بعد از این فاجعه دلار قیمتش افزایش داشت در مرحله بعد NUM۲ گیگ اینترنت شبانه رو حذف کردن ولی شما باز باید همون مبلغ NUM۵ تومان رو پرداخت کنید ب همراه NUM۱٪مالیات در مرحله بعد بسته شبانه رو ب یک قیمت دیگه باز دارن میفروشن ایا این کار یک دولت اسلامیه؟؟؟ دولت ب مردم داره کمک میکنه؟؟؟ لطفا پیگیری کنید جوونا دیگه ب کدوم اینده دلخوش باشن؟؟؟,negative
خانمهای LINK، لوازم خونه، و هر چیز دیگه‌ای که قصد فروشش رو دارید در پیج‌ما اگهی کنید🙏 😀 😀 😀 ❤❤❤🌻 🌻,neutral
سلام خسته LINK شهرستانی هستیم به نام استهبان در استان فارس ک چند سال هست بیمارستانی افتتاح شده و هیچ گونه دکتر و خدمات خوبی ارائه نمیشه. و ما مجبوریم برای درمان به شهرستانهای اطراف LINK کی وضعیت باید اینجوری باشه.,negative
شماره پیامکی چنده ??,neutral
درمورد موضوع امروز برنامه من میگم که هیچ مبلغی نمیشه درنظرگرفت برای طولانی LINK یهو نون میشه LINK نمیشه پیش بینی کرد چیزی رو,negative
دایرکت ج بدید,neutral
ما ارزو میکنیم ی NUM۳ هزار تومن داشته_باشیم,neutral
الحمدالله که تو کشور ما حقوق بشر رعایت می‌شه,negative
ببخشیدکسی میدونه چرانمیشه این کد*NUM۱* NUM۲ TAG روشماره گیری کرد؟,neutral
میدونم پیاممو نمیخونی رشید پور واسه همین چیزی نمی‌گم,negative
. LINK حیف تو نیست با این چهره زیبات پاتو بزاری تو کربلای کثیف,negative
درمان تضمینی درد سیاتیک، پا و درد ناحیه لگن در یک جلسه درمانی,neutral
مشاهده فیلم‌های درمانی در پیجم,neutral
مشاوره ۰۹۱۰۹۹۷۹۱۷۹,neutral
درمان سیاتیک استاد مهربخش,neutral
ریز جلبک اسپیرولینا موجب کاهش اشتها افزایش متابولیسم و کاهش وزن کاهش فشار خون کلسترول و قند خون از بین برنده ریزش مو وکم خونی و حفاظت پوست و شادابی پوست و کلاژن سازی و عضله سازی تقویت بینایی ضد التهاب ضد سرطان و پیری و انرژی زا و حاوی NUM۲ _ NUM۲ درصد پروتئین و کلیه ویتامینها و مواد معدنی و آنتی اکسیدانها و علی الخصوص فیکوسیانین معجزه آسا NUM NUM۲ جهت اطلاعات بیشتر پیج ما را دنبال کنید سفارش و مشاوره رایگان دایرکت لطفا,neutral
سلام LINK پیج ما هم دیدن کنین کلی خوراکی خوشمزه داریم برای مهمونیها و مراسم‌های یلدایی شما. سپاس 🌹 🌹,neutral
سلام. و خسته نباشید با اینکه برنامه تون همیشه مورد توجه منه ولی برخورد امروزتون با نصرالله رادش رو اصلا دوست نداشتم... یه جورایی بی احترامی شد,negative
سلام صبح بخیر پسرای عزیزم. برنامتون خیلی قشنگه. اما متاسفانه من سر گارم و استثنایی اگر خونه باشم می‌بینم همینطور ادامه بدید خیلی انرژی مثبت هستید. با سپاس سامانی,positive
خسته شدیم بخدا,negative
نه به تاثیر قطعی معدل درکنکور ۹۸,neutral
من اگر بودم روزنامه را رایگان اعلام میکردم,neutral
یزد آب ندارد,neutral
با پولش یکمم روش میزارم گوشی میخرم گوشی ندارم😣,negative
میدمش به کسی که نیاز داره,positive
خودم نیاز دارم ولی یکی میشناسم که خیلی بیشتر از من نیاز داره,neutral
دلت خیلی گرفته حال روحیم خوب نیس تا حالا کربلا نرفتم ارزومه برم پولو میدادم میرفتم کربلا دوای همه دردامه کاش داشتم ی میلیون,negative
چه پارک زیبایی برای شهر دار خونه بسازیم اینجا خیلی خوب میشه😅 😅 😅,positive
با سلام خدمت مجری خوب و توانمند. برنامتون فوق العادست. این روحانی که امروز اومده بود اصلا نمیذاشت شما صحبت کنید که وقت کشی کنه و ازش انتقاد نشه. و خرابکاریاشون رو نشه. واقعا متاسفم,negative
LINK تون عالیه... مجریا فوق العاده هستن... از همتون سپاس گذارم... موفق باشید..,positive
دیروز آقای رشید پور نبودند امروز هم که پنجشنبه هست همکارانشونم نبودن اتفاقی افتاده؟ ما نگرانیم,negative
LINK بسیارعالیه.. خداقوت.,positive
❌❌❌یکی این وسط رسیدگی کنه ب آینده دانشجویان ذخیره لفطااا صدای ما باشین🙏 🙏 🙏 🙏 🙏 ❌❌❌,negative
منم تمشک و میگفتم تم شک 😂 😂 😂 😂,positive
پسرم به آشپزخونه می‌گفت آش کم مونه,positive
پسرم به سیب زمینی میگفت نمینی😊,positive
بابام میگه من به بیسکویت گرجی میگفتم بیسکویت کرجی😂 😁,positive
استاد علی نصیریان,neutral
سلام من دانشجوی دانشگاه غیرانتفاعی هستم بعد از سه جلسه رفتن میخوام که انصراف بدم ولی بهم میگن باید یک و نیم میلیون تومن بدم هم شهریه کامل هم خسارت در صورتی که میگن میتونن کس دیگه یی رو جایگزینم کنن ولی من نه راه پس دارم نه راه پیش این پول برای سه جلسه خیلیه/:,negative
جناب رشید پور حجاب جزو فرهنگ ایران آریایی نیست. لطفا ب ایران نچسبون,negative
اسم تیتراژ ابتدایی برنامه چیه؟,neutral
سلام تروخدا بگید ب ما شبکه ورزش کارش چیه چرا یه دونه فیلم جذاب برا ما گذاشتن شبکه NUM۱ اونم هی نشونش نمیدن یه روز فوتباله یه روز کشتی یه روزم شهادت حالمون از این فیلم پخش کردنشون بهم میخوره,negative
سلام خدا قوت برنامه تون عالی👏 👏 👏,positive
سلام اسم شو میذاشتم علی با حوضش,neutral
کلش آف کلنز، محمد رستگاری کوپایی,neutral
سلام چرا پیام منو نمی‌خونی😢,negative
یحیی و بدشانسی‌های همیشگی,neutral
🚘 🚘 🚘 🚘 🚖 🚖 🚖 🚖 سلام آقای رشیدپور بخدا ما خودمونم دیگه خجالت میکشیم در رابطه با شرکت خودرو سازی سایپای بی مسئولیت برای شما و یا دیگر عزیزان پیام بفرستیم، اما باز هم امیدمون به شنیده شدن صدامون از تریبون‌های در اختیار شماست این شرکت نه خودروی ساندروی پیش خرید سال NUM۲ ما را تحویل میدهد نه تکلیفمون رو روشن میکنه نه احترام به ارباب رجوع میگذارد. ضمن اینکه شائبه فروش آزاد آن در بازار، بیشتر باعث آزار و ناراحتی ما میگردد.. این شرکت فقط عشقش این شده که هر NUM۱ ماه یبار بیاد بگه افزایش قیمت داریم... شما بفرمائید ما چه کنیم. شش ماه می‌باشد که به ما دروغ میگه و وعده سرخرمن میده هر ماه میگه آخر ماه آخر ماه‌ها نیز تمام شدنی نیستند متشکر. 🚘 🚘 🚘 🚘 🚘 🚘 🚘,negative
LINK LINK خوب شما باعث شده برخی مردم مطالبات به حق خودشان راطرح LINK به عنوان یک شهروند دارای حقوق شهروند خواهش می‌کنمبه نمایندگان محترم مجلس بفرمایید خواهشا فارغ از زدوبند سیاسی و... وزرا را تحلیل و نقد LINK فردی در پست قبلی نتوانسته_است موفق باشد چطور می‌تواند درپست دیگر موفق باشد؟ صدرو بخشنامه‌های متعددو بعضا متناقض باعث شده_است که دود بی برنامگی و عدم مسئولیت به دود کارگران زحمتکشی که ژن خوب نیستند و... LINK اینکه معاون همان فرد هم که دارای همان تفکر است به جای ایشان معرفی می‌شود.,negative
مستر درست نیست تو پخش زنده از تیم حکومتیت دفاع کنیو جار بزنی ک پرسپولیسی هستی خودتو از چشم ننداز 💙 💙 💙 💙,negative
شیلنگ رو بگیر رو مسوولین بی لیاقت آقای رشید پور😑,negative
کیرم توکیسه,negative
سلام شما که اینقدر نسبت به مسایل نگاه موشکافانه دارید لطفا درباره پاداش بازنشستگان فرهنگیان عزیز صحبت کنید متاسفانه بعدازیک سال در چندقسط پرداخت می‌کنند چرا باید پس از سالها تحمل حقوق کم وغیرعادلانه در ایام بازنشستگی شرمنده خانواده‌شان باشن,negative
مهمون امروز کی بود؟,neutral
خیلی رشیدپورازت...,negative
